1955/56	Prinzenpark	Paris	Spanien Real Madrid	4:3	Frankreich Stade Reims
1956/57	Estadio Santiago Bernabéu	Madrid	Spanien Real Madrid	2:0	Italien AC Florenz
1957/58	Heysel-Stadion	Brüssel	Spanien Real Madrid	3:2 n.V.	Italien AC Mailand
1958/59	Neckarstadion	Stuttgart	Spanien Real Madrid	2:0	Frankreich Stade Reims
1959/60	Hampden Park	Glasgow	Spanien Real Madrid	7:3	Deutschland Eintracht Frankfurt
1960/61	Wankdorfstadion	Bern	Portugal Benfica Lissabon	3:2	Spanien FC Barcelona
1961/62	Olympiastadion	Amsterdam	Portugal Benfica Lissabon	5:3	Spanien Real Madrid
1962/63	Wembley-Stadion	London	Italien AC Mailand	2:1	Portugal Benfica Lissabon
1963/64	Praterstadion	Wien	Italien Inter Mailand	3:1	Spanien Real Madrid
1964/65	San Siro	Mailand	Italien Inter Mailand	1:0	Portugal Benfica Lissabon
1965/66	Heysel-Stadion	Brüssel	Spanien Real Madrid	2:1	Jugoslawien Partizan Belgrad
1966/67	Estádio Nacional	Lissabon	Schottland Celtic Glasgow	2:1	Italien Inter Mailand
1967/68	Wembley-Stadion	London	England Manchester United	4:1 n.V.	Portugal Benfica Lissabon
1968/69	Estadio Santiago Bernabéu	Madrid	Italien AC Mailand	4:1	Niederlande Ajax Amsterdam
1969/70	San Siro	Mailand	Niederlande Feyenoord Rotterdam	2:1 n.V.	Schottland Celtic Glasgow
1970/71	Wembley-Stadion	London	Niederlande Ajax Amsterdam	2:0	Panathinaikos Athen Panathinaikos Athen
1971/72	De Kuip	Rotterdam	Niederlande Ajax Amsterdam	2:0	Italien Inter Mailand
1972/73	Stadion Roter Stern	Belgrad	Niederlande Ajax Amsterdam	1:0	Italien Juventus Turin
1973/74	Heysel-Stadion	Brüssel	Deutschland FC Bayern München	1:1 n.V. / 4:0	Spanien Atlético Madrid
1974/75	Prinzenpark	Paris	Deutschland FC Bayern München	2:0	England Leeds United
1975/76	Hampden Park	Glasgow	Deutschland FC Bayern München	1:0	Frankreich AS Saint-Étienne
1976/77	Olympiastadion	Rom	England FC Liverpool	3:1	Deutschland Borussia Mönchengladbach
1977/78	Wembley-Stadion	London	England FC Liverpool	1:0	Belgien FC Brügge
1978/79	Olympiastadion	München	England Nottingham Forest	1:0	Schweden Malmö FF
1979/80	Estadio Santiago Bernabéu	Madrid	England Nottingham Forest	1:0	Deutschland Hamburger SV
1980/81	Prinzenpark	Paris	England FC Liverpool	1:0	Spanien Real Madrid
1981/82	De Kuip	Rotterdam	England Aston Villa	1:0	Deutschland FC Bayern München
1982/83	Olympiastadion	Athen	Deutschland Hamburger SV	1:0	Italien Juventus Turin
1983/84	Olympiastadion	Rom	England FC Liverpool	1:1 n.V. / 4:2 i.E.	Italien AS Rom
1984/85	Heysel-Stadion	Brüssel	Italien Juventus Turin	1:0	England FC Liverpool
1985/86	Estadio Ramón Sánchez Pizjuán	Sevilla	Rumänien Steaua Bukarest	0:0 n.V. / 2:0 i.E.	Spanien FC Barcelona
1986/87	Praterstadion	Wien	Portugal FC Porto	2:1	Deutschland FC Bayern München
1987/88	Neckarstadion	Stuttgart	Niederlande PSV Eindhoven	0:0 n.V. / 6:5 i.E.	Portugal Benfica Lissabon
1988/89	Camp Nou	Barcelona	Italien AC Mailand	4:0	Rumänien Steaua Bukarest
1989/90	Praterstadion	Wien	Italien AC Mailand	1:0	Portugal Benfica Lissabon
1990/91	Stadio San Nicola	Bari	Jugoslawien Roter Stern Belgrad	0:0 n.V. / 5:3 i.E.	Frankreich Olympique Marseille
1991/92	Wembley-Stadion	London	Spanien FC Barcelona	1:0 n.V.	Italien Sampdoria Genua
